time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-10T14:36:42.167Z,61.0094,-147.5769,0,1.2,ml,,,,0.73,ak,ak021d09n3tl,2021-12-06T19:06:51.170Z,"51 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-08T05:45:06.769Z,61.1446,-147.4884,0,1.3,ml,,,,0.68,ak,ak021cwt9cs4,2021-12-06T19:09:04.902Z,"53 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-07T20:53:15.322Z,61.1486,-147.476,0,1.2,ml,,,,0.72,ak,ak021cvep8le,2021-12-06T19:09:39.747Z,"53 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-06T18:30:09.491Z,61.2332,-147.7832,0,1,ml,,,,0.67,ak,ak021ctpu2se,2021-12-06T19:10:30.940Z,"64 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-06T10:35:00.121Z,61.1464,-147.4284,0,1.3,ml,,,,0.6,ak,ak021ctl3oek,2021-12-06T19:10:46.839Z,"51 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-05T21:05:32.974Z,61.1041,-147.5073,0,1.4,ml,,,,0.52,ak,ak021cs3xpdi,2021-12-06T19:11:39.294Z,"52 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-05T13:51:08.211Z,61.2441,-147.6811,0,0.8,ml,,,,0.33,ak,ak021crzfwgn,2021-12-06T19:12:01.285Z,"62 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-04T13:03:14.086Z,61.177,-146.7739,0,1.3,ml,,,,0.54,ak,ak021cqbmg0o,2021-12-06T19:13:17.268Z,"23 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-03T23:25:29.000Z,61.1434,-147.3194,0,1,ml,,,,0.26,ak,ak021cou66w3,2021-12-06T19:14:05.305Z,"46 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-09-27T22:45:03.104Z,61.2523,-147.5155,0,1,ml,,,,0.27,ak,ak021cewgs3x,2021-10-26T14:59:50.309Z,"62 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-09-27T03:48:40.908Z,61.2973,-147.7404,0,1.4,ml,,,,0.45,ak,ak021cel6doa,2021-10-26T14:57:49.143Z,"57 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
